#,PLAYER,GP,MIN,PTS,PPG,APG,RPG,SPG,BPG,FGM,FGA,FG%,3 PM',3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
1,Kareem Abdul-Jabbar,"1,560",57446,38387,24.6,3.6,7.9,0.7,2.0,15837,28307,55.9,1,18,5.6,6712,9304,72.1,2975,9394,17440,5660,1160,3189,2527,55.9,59.2
2,Karl Malone,"1,476",54852,36928,25.0,3.6,10.1,1.4,0.8,13528,26210,51.6,85,310,27.4,9787,13188,74.2,3562,11406,14968,5248,2085,1145,4524,51.8,57.7
3,Kobe Bryant,"1,346",48643,33643,25.0,4.7,5.2,1.4,0.5,11719,26200,44.7,1827,5546,32.9,8378,10011,83.7,1499,5548,7047,6306,1944,640,4010,48.2,55
4,LeBron James,"1,198",46234,32543,27.2,7.2,7.4,1.6,0.8,11838,23478,50.4,1727,5028,34.3,7140,9701,73.6,1443,7437,8880,8662,1937,921,4163,54.1,58.6
5,Michael Jordan,"1,072",41010,32292,30.1,5.3,6.2,2.3,0.8,12192,24537,49.7,581,1778,32.7,7327,8772,83.5,1668,5004,6672,5633,2514,893,2924,50.9,56.9
6,Dirk Nowitzki,"1,522",51367,31560,20.7,2.4,7.5,0.8,0.8,11169,23734,47.1,1982,5210,38,7240,8239,87.9,1468,10021,11489,3651,1210,1281,2494,51.2,57.7
7,Wilt Chamberlain,"1,045",47859,31419,30.1,4.4,0.0,,,12681,23497,54,-,-,-,6057,11862,51.1,-,-,23924,4643,-,-,-,54,54.7
8,Shaquille O'Neal,"1,207",41917,28596,23.7,2.5,10.9,0.6,2.3,11330,19457,58.2,1,22,4.5,5935,11252,52.7,4209,8890,13099,3026,739,2732,3310,58.2,58.6
9,Moses Malone,"1,329",45071,27409,20.6,1.4,12.2,0.8,1.3,9435,19225,49.1,8,80,10,8531,11090,76.9,6731,9481,16212,1796,1089,1733,3804,49.1,56.9
10,Elvin Hayes,"1,303",50000,27313,21.0,1.8,7.5,0.7,1.4,10976,24272,45.2,5,34,14.7,5356,7999,67,2778,6973,16279,2398,864,1771,1358,45.2,49.1
11,Hakeem Olajuwon,"1,238",44218,26946,21.8,2.5,11.1,1.7,3.1,10749,20991,51.2,25,124,20.2,5423,7621,71.2,4034,9714,13748,3058,2162,3830,3667,51.3,55.3
12,Oscar Robertson,"1,040",43886,26710,25.7,9.5,0.3,0.1,0.0,9508,19620,48.5,-,-,-,7694,9185,83.8,71,208,7804,9887,77,4,-,48.5,56.4
13,Dominique Wilkins,"1,074",38115,26668,24.8,2.5,6.7,1.3,0.6,9963,21589,46.1,711,2231,31.9,6031,7438,81.1,2950,4219,7169,2677,1378,642,2669,47.8,53.6
14,Tim Duncan,"1,392",47367,26496,19.0,3.0,10.8,0.7,2.2,10285,20334,50.6,30,168,17.9,5896,8468,69.6,3859,11232,15091,4225,1025,3020,3381,50.7,55.1
15,Paul Pierce,"1,343",45879,26397,19.7,3.5,5.6,1.3,0.6,8668,19465,44.5,2143,5816,36.8,6918,8578,80.6,1092,6435,7527,4708,1752,745,3532,50,56.8
16,John Havlicek,"1,270",46471,26395,20.8,4.8,1.6,0.4,0.1,10513,23930,43.9,-,-,-,5369,6589,81.5,610,1389,8007,6114,476,117,204,43.9,49.2
17,Kevin Garnett,"1,462",50412,26071,17.8,3.7,10.0,1.3,1.4,10505,21142,49.7,174,632,27.5,4887,6190,78.9,3209,11453,14662,5445,1859,2037,3179,50.1,54.6
18,Alex English,"1,193",38063,25613,21.5,3.6,5.5,0.9,0.7,10659,21036,50.7,18,83,21.7,4277,5141,83.2,2778,3760,6538,4351,1067,833,2821,50.7,55
19,Carmelo Anthony,"1,064",38128,25551,24.0,3.0,6.5,1.0,0.5,9137,20361,44.9,1362,3925,34.7,5915,7290,81.1,1818,5120,6938,3165,1081,527,2832,48.2,54.2
20,Vince Carter,"1,481",45494,25430,17.2,3.2,4.4,1.0,0.6,9186,21035,43.7,2229,5966,37.4,4829,6053,79.8,1640,4842,6482,4666,1507,863,2557,49,53.7
21,Reggie Miller,"1,389",47620,25279,18.2,3.0,3.0,1.1,0.2,8241,17499,47.1,2560,6486,39.5,6237,7026,88.8,883,3299,4182,4141,1505,299,2409,54.4,61.4
22,Jerry West,932,36571,25192,27.0,6.7,0.1,0.1,0.0,9016,19032,47.4,-,-,-,7160,8801,81.4,30,86,5376,6238,81,23,-,47.4,55
23,Patrick Ewing,"1,183",40594,24815,21.0,1.9,9.8,1.0,2.4,9702,19241,50.4,19,125,15.2,5392,7289,74,2752,8855,11607,2215,1136,2894,3537,50.5,55.3
24,Ray Allen,"1,300",46350,24505,18.9,3.4,4.1,1.1,0.2,8567,18955,45.2,2973,7429,40,4398,4920,89.4,1230,4042,5272,4361,1451,244,2709,53,58
25,Allen Iverson,914,37582,24368,26.7,6.2,3.7,2.2,0.2,8467,19906,42.5,1059,3383,31.3,6375,8168,78,745,2649,3394,5624,1983,164,3262,45.2,51.8
26,Charles Barkley,"1,073",39331,23757,22.1,3.9,11.7,1.5,0.8,8435,15605,54.1,538,2020,26.6,6349,8643,73.5,4260,8286,12546,4215,1648,888,3376,55.8,61.2
27,Robert Parish,"1,611",45704,23334,14.5,1.4,9.1,0.8,1.5,9614,17914,53.7,0,6,0,4106,5694,72.1,4598,10117,14715,2180,1219,2361,3183,53.7,57.1
28,Adrian Dantley,955,34151,23177,24.3,3.0,5.7,1.0,0.2,8169,15121,54,7,41,17.1,6832,8351,81.8,2207,3248,5455,2830,944,150,2503,54,61.7
29,Dwyane Wade,"1,054",35777,23165,22.0,5.4,4.7,1.5,0.8,8454,17617,48,549,1874,29.3,5708,7463,76.5,1258,3675,4933,5701,1620,885,3326,49.5,55.4
30,Elgin Baylor,846,33863,23149,27.4,4.3,0.0,,,8693,20171,43.1,-,-,-,5763,7391,78,-,-,11463,3650,-,-,-,43.1,49.4
31,Kevin Durant,849,31305,22940,27.0,4.1,7.1,1.1,1.1,7814,15859,49.3,1570,4122,38.1,5742,6506,88.3,617,5375,5992,3486,948,941,2653,54.2,61.3
32,Clyde Drexler,"1,086",37538,22195,20.4,5.6,6.1,2.0,0.7,8335,17673,47.2,827,2603,31.8,4698,5962,78.8,2615,4062,6677,6125,2207,719,2977,49.5,54.7
33,Gary Payton,"1,335",47117,21813,16.3,6.7,3.9,1.8,0.2,8708,18698,46.6,1132,3570,31.7,3265,4480,72.9,1392,3877,5269,8966,2445,285,3030,49.6,52.8
34,Larry Bird,897,34443,21791,24.3,6.3,10.0,1.7,0.8,8591,17334,49.6,649,1727,37.6,3960,4471,88.6,1757,7217,8974,5695,1556,755,2816,51.4,56.4
35,Hal Greer,"1,122",39788,21586,19.2,4.0,0.0,,,8504,18811,45.2,-,-,-,4578,5717,80.1,-,-,5665,4540,-,-,-,45.2,50.6
36,Walt Bellamy,"1,043",38940,20941,20.1,2.4,0.7,0.0,0.0,7914,15340,51.6,-,-,-,5113,8088,63.2,264,481,14241,2544,52,48,-,51.6,55.4
37,Pau Gasol,"1,226",41001,20894,17.0,3.2,9.2,0.5,1.6,7980,15729,50.7,179,486,36.8,4755,6311,75.3,3085,8220,11305,3925,606,1941,2638,51.3,56.5
39,David Robinson,987,34273,20790,21.1,2.5,10.6,1.4,3.0,7365,14221,51.8,25,100,25,6035,8201,73.6,3083,7414,10497,2441,1388,2954,2417,51.9,58.3
41,Mitch Richmond,976,34301,20497,21.0,3.5,3.9,1.2,0.3,7305,16038,45.5,1326,3417,38.8,4561,5365,85,881,2920,3801,3398,1211,254,2579,49.7,55.7
42,Joe Johnson,"1,276",44233,20405,16.0,3.9,4.0,0.8,0.2,7822,17719,44.1,1978,5331,37.1,2783,3468,80.2,1067,3992,5059,5001,1071,260,2451,49.7,53
43,Tom Chambers,"1,107",33921,20049,18.1,2.1,6.1,0.8,0.6,7378,15749,46.8,227,740,30.7,5066,6274,80.7,1942,4761,6703,2283,885,627,2549,47.6,54.2
44,Antawn Jamison,"1,083",37638,20042,18.5,1.6,7.5,1.0,0.4,7679,17024,45.1,1163,3365,34.6,3521,4860,72.4,2557,5600,8157,1761,1048,421,1714,48.5,52.3
45,John Stockton,"1,504",47766,19711,13.1,10.5,2.7,2.2,0.2,7039,13658,51.5,845,2202,38.4,4788,5796,82.6,966,3085,4051,15806,3265,315,4244,54.6,60.8
46,Bernard King,874,29417,19655,22.5,3.3,5.8,1.0,0.3,7830,15109,51.8,23,134,17.2,3972,5444,73,1704,3356,5060,2863,866,230,2791,51.9,56.1
47,Clifford Robinson,"1,380",42560,19591,14.2,2.2,4.6,1.0,1.0,7389,16875,43.8,1253,3515,35.6,3560,5165,68.9,1852,4454,6306,3094,1402,1390,2502,47.5,51.2
48,Walter Davis,"1,033",28859,19521,18.9,3.8,3.0,1.2,0.1,8118,15871,51.1,157,577,27.2,3128,3676,85.1,889,2164,3053,3878,1280,133,2541,51.6,55.8
49,Tony Parker,"1,254",38279,19473,15.5,5.6,2.7,0.8,0.1,7777,15830,49.1,519,1603,32.4,3400,4525,75.1,441,2955,3396,7036,1053,98,2865,50.8,54.6
50,Terry Cummings,"1,183",33895,19460,16.4,1.9,7.3,1.1,0.5,8045,16628,48.4,44,149,29.5,3326,4711,70.6,3183,5447,8630,2190,1255,650,2200,48.5,52
51,Jamal Crawford,"1,326",38988,19414,14.6,3.4,2.2,0.9,0.2,6750,16463,41,2220,6377,34.8,3694,4286,86.2,466,2482,2948,4538,1179,271,2476,47.7,52.9
52,Bob Lanier,959,32103,19248,20.1,3.1,7.0,0.8,1.1,7761,15092,51.4,2,13,15.4,3724,4858,76.7,1843,4853,9698,3007,777,1100,1112,51.4,55.9
53,Eddie Johnson,"1,199",32603,19202,16.0,2.1,4.0,0.6,0.2,7727,16361,47.2,562,1679,33.5,3186,3792,84,1786,3046,4832,2550,739,180,2076,48.9,53.3
54,Gail Goodrich,"1,031",33527,19181,18.6,4.7,1.1,0.5,0.1,7431,16300,45.6,-,-,-,4319,5354,80.7,453,651,3279,4805,545,72,390,45.6,51.4
55,Reggie Theus,"1,026",34603,19015,18.5,6.3,3.3,1.2,0.2,7057,14973,47.1,238,945,25.2,4663,5644,82.6,1182,2167,3349,6453,1206,236,3493,47.9,54.5
56,Dale Ellis,"1,209",34780,19004,15.7,1.4,3.5,0.8,0.2,7323,15275,47.9,1719,4266,40.3,2639,3365,78.4,1533,2668,4201,1746,974,183,1771,53.6,56.7
57,Scottie Pippen,"1,178",41068,18940,16.1,5.2,6.4,2.0,0.8,7420,15700,47.3,978,3002,32.6,3122,4437,70.4,2068,5426,7494,6135,2307,947,3257,50.4,53.6
58,Jason Terry,"1,410",42034,18881,13.4,3.8,2.3,1.1,0.2,6914,15585,44.4,2282,6010,38,2771,3278,84.5,502,2772,3274,5415,1603,275,2415,51.7,55.4
59,Russell Westbrook,821,28329,18859,23.0,8.4,7.0,1.8,0.3,6626,15253,43.4,922,2995,30.8,4685,5846,80.1,1371,4389,5760,6897,1442,250,3326,46.5,52.9
60,Chet Walker,"1,032",33433,18831,18.2,2.1,0.8,0.1,0.0,6876,14628,47,-,-,-,5079,6384,79.6,245,593,7314,2126,117,10,-,47,54
61,Isiah Thomas,979,35516,18822,19.2,9.3,3.6,1.9,0.3,7194,15904,45.2,398,1373,29,4036,5316,75.9,951,2527,3478,9061,1861,249,3682,46.5,51.6
62,Bob McAdoo,852,28327,18787,22.1,2.3,8.6,0.9,1.3,7420,14751,50.3,3,37,8.1,3944,5229,75.4,1818,5502,8048,1951,751,1147,1223,50.3,55.1
64,LaMarcus Aldridge,950,32765,18598,19.6,2.0,8.4,0.7,1.1,7528,15325,49.1,121,427,28.3,3421,4223,81,2581,5387,7968,1856,697,1024,1498,49.5,54.1
65,Zach Randolph,"1,116",34620,18578,16.6,1.8,9.1,0.7,0.3,7436,15774,47.1,199,729,27.3,3507,4592,76.4,3279,6929,10208,2049,834,301,2290,47.8,52.2
66,Mark Aguirre,923,27730,18458,20.0,3.1,5.0,0.7,0.3,7201,14865,48.4,392,1258,31.2,3664,4944,74.1,1704,2874,4578,2871,687,296,2306,49.8,54.2
67,Dolph Schayes,996,29800,18438,18.5,3.1,0.0,,,5863,15427,38,-,-,-,6712,7904,84.9,-,-,11256,3072,-,-,-,38,48.8
69,Tracy McGrady,938,30658,18381,19.6,4.4,5.6,1.2,0.9,6709,15413,43.5,1081,3198,33.8,3882,5202,74.6,1300,3976,5276,4161,1136,807,2029,47,51.9
70,Julius Erving,836,28677,18364,22.0,3.9,6.7,1.8,1.5,7237,14276,50.7,46,176,26.1,3844,4950,77.7,2067,3534,5601,3224,1508,1293,2323,50.9,55.8
71,Glen Rice,"1,000",34982,18336,18.3,2.1,4.4,1.0,0.3,6776,14867,45.6,1559,3896,40,3225,3813,84.6,946,3441,4387,2097,958,265,1733,50.8,55.4
72,Dave Bing,901,32769,18327,20.3,6.0,1.3,0.5,0.1,6962,15769,44.1,-,-,-,4403,5683,77.5,418,741,3420,5397,483,89,216,44.1,50.2
73,Dwight Howard,"1,044",35985,18114,17.4,1.5,12.6,0.9,2.0,6537,11217,58.3,6,63,9.5,5034,8885,56.7,3671,9513,13184,1535,986,2051,3059,58.3,59.9
74,World Free,886,26893,17955,20.3,3.7,2.7,1.0,0.3,6512,14294,45.6,213,632,33.7,4718,6264,75.3,1008,1422,2430,3319,910,223,1869,46.3,52.7
75,Calvin Murphy,"1,002",30607,17949,17.9,4.4,1.4,1.2,0.1,7247,15030,48.2,10,72,13.9,3445,3864,89.2,499,952,2103,4402,1165,51,822,48.3,53.6
76,Lou Hudson,890,29794,17940,20.2,2.7,1.3,0.6,0.1,7392,15129,48.9,-,-,-,3156,3960,79.7,436,718,3926,2432,516,98,249,48.9,53.2
77,Chris Mullin,986,32172,17911,18.2,3.5,4.1,1.6,0.6,6740,13243,50.9,815,2120,38.4,3616,4178,86.5,1026,3008,4034,3450,1530,549,2315,54,59.4
78,Lenny Wilkens,"1,077",38064,17772,16.5,6.7,0.4,0.2,0.0,6189,14327,43.2,-,-,-,5394,6973,77.4,118,279,5030,7211,174,26,-,43.2,51.1
79,Bailey Howell,950,30627,17770,18.7,2.0,0.0,,,6515,13585,48,-,-,-,4740,6224,76.2,-,-,9383,1853,-,-,-,48,54.4
80,Magic Johnson,906,33245,17707,19.5,11.2,7.2,1.9,0.4,6211,11951,52,325,1074,30.3,4960,5850,84.8,1601,4958,6559,10141,1724,374,3506,53.3,61
81,Shawn Marion,"1,163",40097,17700,15.2,1.9,8.7,1.5,1.1,7289,15056,48.4,791,2390,33.1,2331,2877,81,2732,7369,10101,2198,1759,1233,1750,51,54.2
82,Rolando Blackman,980,32087,17623,18.0,3.0,3.3,0.7,0.3,6887,13969,49.3,229,667,34.3,3620,4309,84,1047,2231,3278,2981,715,274,1829,50.1,55.5
83,Otis Thorpe,"1,257",39824,17599,14.0,2.2,8.2,0.7,0.4,6872,12593,54.6,3,64,4.7,3852,5610,68.7,3446,6924,10370,2730,840,501,2774,54.6,58.4
84,Chris Paul,950,33350,17597,18.5,9.7,4.5,2.2,0.1,6162,13132,46.9,1268,3426,37,4005,4613,86.8,641,3621,4262,9181,2122,122,2304,51.8,58
85,Jason Kidd,"1,391",50116,17529,12.6,8.7,6.3,1.9,0.3,6219,15557,40,1988,5701,34.9,3103,3954,78.5,1768,6957,8725,12091,2684,450,4003,46.4,50.7
86,Earl Monroe,926,29636,17454,18.8,3.9,1.3,0.5,0.1,6906,14898,46.4,0,0,0,3642,4513,80.7,260,976,2796,3594,473,121,305,46.4,51.7
87,Steve Nash,"1,217",38073,17387,14.3,8.5,3.0,0.7,0.1,6321,12892,49,1685,3939,42.8,3060,3384,90.4,643,2999,3642,10335,899,102,3478,55.6,60.5
88,Kevin McHale,971,30118,17335,17.9,1.7,7.3,0.4,1.7,6830,12334,55.4,41,157,26.1,3634,4554,79.8,2358,4764,7122,1670,344,1690,1893,55.5,60.5
89,Michael Finley,"1,103",37995,17306,15.7,2.9,4.4,0.9,0.3,6696,15095,44.4,1454,3880,37.5,2460,3032,81.1,1121,3683,4804,3245,996,323,1629,49.2,52.7
90,Jack Sikma,"1,107",36943,17287,15.6,3.2,9.8,1.0,0.9,6396,13792,46.4,203,618,32.8,4292,5053,84.9,2542,8274,10816,3488,1162,1048,2586,47.1,54
91,Kevin Willis,"1,424",38360,17253,12.1,0.9,8.4,0.7,0.5,7095,14572,48.7,40,190,21.1,3023,4238,71.3,4132,7769,11901,1328,958,751,2520,48.8,52.5
92,Jeff Malone,905,29660,17231,19.0,2.4,2.6,0.6,0.1,7099,14674,48.4,86,321,26.8,2947,3383,87.1,572,1792,2364,2154,577,100,1538,48.7,53.3
93,Chris Bosh,893,31936,17189,19.2,2.0,8.5,0.8,1.0,6209,12581,49.4,305,910,33.5,4466,5591,79.9,1927,5665,7592,1795,730,932,1807,50.6,57.1
94,Chris Webber,831,30852,17182,20.7,4.2,9.8,1.4,1.4,7192,15024,47.9,264,883,29.9,2534,3906,64.9,2271,5853,8124,3526,1197,1200,2313,48.7,51.3
95,Grant Hill,"1,026",34778,17137,16.7,4.1,6.0,1.2,0.6,6345,13126,48.3,219,697,31.4,4228,5498,76.9,1176,4993,6169,4252,1248,576,2459,49.2,55.1
96,Bob Cousy,924,30165,16960,18.4,7.5,0.0,,,6168,16468,37.5,-,-,-,4624,5756,80.3,-,-,4786,6955,-,-,-,37.5,44.6
97,Elton Brand,"1,058",34906,16827,15.9,2.1,8.5,0.9,1.7,6599,13185,50,2,21,9.5,3627,4929,73.6,3304,5736,9040,2184,940,1828,2060,50.1,54.8
98,Buck Williams,"1,307",42470,16784,12.8,1.3,10.0,0.8,0.8,6404,11661,54.9,5,30,16.7,3971,5979,66.4,4526,8491,13017,1646,1080,1100,2784,54.9,58.7
99,Latrell Sprewell,913,35268,16712,18.3,4.0,4.1,1.4,0.4,6076,14294,42.5,1104,3272,33.7,3456,4298,80.4,770,2954,3724,3664,1294,399,2450,46.4,51.6
100,Nate Archibald,876,31159,16481,18.8,7.4,1.6,0.8,0.1,5899,12628,46.7,19,85,22.4,4664,5760,81,344,1015,2046,6476,719,81,1123,46.8,54.3
101,Jerry Stackhouse,970,30226,16409,16.9,3.3,3.2,0.9,0.5,5386,13182,40.9,988,3202,30.9,4649,5659,82.2,926,2141,3067,3240,869,437,2641,44.6,52.4
102,Joe Dumars,"1,018",35141,16402,16.1,4.5,2.2,0.9,0.1,5994,13026,46,990,2592,38.2,3424,4061,84.3,671,1532,2203,4612,902,83,2084,49.8,55.4
103,James Worthy,926,30001,16320,17.6,3.0,5.1,1.1,0.7,6878,13204,52.1,117,486,24.1,2447,3184,76.9,1561,3147,4708,2791,1041,624,1859,52.5,55.9
105,Stephon Marbury,846,31890,16297,19.3,7.6,3.0,1.2,0.1,5769,13324,43.3,991,3048,32.5,3768,4804,78.4,579,1937,2516,6471,1022,121,2547,47,52.8
106,Andre Miller,"1,304",40268,16278,12.5,6.5,3.7,1.2,0.2,6035,13104,46.1,193,888,21.7,4015,4975,80.7,1373,3422,4795,8524,1546,227,3121,46.8,53.2
108,Randy Smith,976,31444,16262,16.7,4.6,2.9,1.4,0.1,6676,14218,47,17,110,15.5,2893,3705,78.1,861,1977,3597,4487,1403,57,1158,47,51.3
109,Juwan Howard,"1,208",36648,16159,13.4,2.2,6.1,0.7,0.3,6543,13950,46.9,6,50,12,3067,4014,76.4,2348,5080,7428,2663,818,312,2469,46.9,51.4
110,Derek Harper,"1,199",37776,16006,13.3,5.5,2.4,1.6,0.3,6191,13384,46.3,1070,3026,35.4,2554,3426,74.5,696,2188,2884,6577,1957,304,2334,50.3,53.7
110,Rasheed Wallace,"1,109",36249,16006,14.4,1.8,6.7,1.0,1.3,6320,13529,46.7,1086,3228,33.6,2280,3162,72.1,1578,5826,7404,1994,1090,1460,1693,50.7,53.6
112,Amar'e Stoudemire,846,26253,15994,18.9,1.2,7.8,0.8,1.2,5911,11009,53.7,30,127,23.6,4142,5444,76.1,2029,4603,6632,1050,636,1054,1953,53.8,59.7
113,Kiki Vandeweghe,810,24521,15980,19.7,2.1,3.4,0.6,0.3,6139,11699,52.5,218,592,36.8,3484,3997,87.2,893,1892,2785,1668,468,243,1310,53.4,59.4
115,Jack Twyman,823,26147,15840,19.2,2.3,0.0,,,6237,13873,45,-,-,-,3366,4325,77.8,-,-,5424,1861,-,-,-,45,50.2
116,Chauncey Billups,"1,043",33008,15802,15.2,5.4,2.9,1.0,0.2,4738,11413,41.5,1830,4725,38.7,4496,5029,89.4,480,2512,2992,5636,1051,168,2138,49.5,58
117,Detlef Schrempf,"1,136",33609,15761,13.9,3.4,6.2,0.8,0.3,5400,10995,49.1,475,1236,38.4,4486,5585,80.3,1871,5152,7023,3833,856,312,2268,51.3,58.6
118,Richard Hamilton,921,29562,15708,17.1,3.4,3.1,0.8,0.1,5969,13288,44.9,530,1530,34.6,3240,3805,85.2,794,2058,2852,3125,714,131,1977,46.9,52.5
119,Larry Nance,920,30697,15687,17.1,2.6,8.0,0.9,2.2,6370,11664,54.6,8,55,14.5,2939,3892,75.5,2299,5053,7352,2393,872,2027,1711,54.6,58.6
120,Jeff Hornacek,"1,077",33961,15659,14.5,4.9,3.4,1.4,0.2,5929,11957,49.6,828,2055,40.3,2973,3390,87.7,919,2727,3646,5281,1536,226,1971,53,58.2
121,Antoine Walker,893,31533,15647,17.5,3.5,7.7,1.2,0.5,6085,14710,41.4,1386,4264,32.5,2091,3303,63.3,1894,4997,6891,3170,1085,469,2504,46.1,48.4
122,Sam Cassell,993,29813,15635,15.7,6.0,3.2,1.1,0.2,5698,12558,45.4,672,2029,33.1,3567,4144,86.1,618,2603,3221,5939,1058,163,2418,48,54.4
123,Terry Porter,"1,274",35355,15586,12.2,5.6,3.0,1.2,0.1,5428,11734,46.3,1297,3360,38.6,3433,4107,83.6,715,3157,3872,7160,1583,181,2666,51.8,57.6
124,Walt Frazier,825,30965,15581,18.9,6.1,2.3,0.8,0.1,6130,12516,49,0,1,0,3321,4226,78.6,403,1523,4830,5040,681,63,139,49,54.2
125,Artis Gilmore,909,29685,15579,17.1,2.0,10.1,0.5,1.9,5732,9570,59.9,1,13,7.7,4114,5768,71.3,2639,6522,9161,1777,470,1747,2347,59.9,64.3
125,Rashard Lewis,"1,049",33543,15579,14.9,1.7,5.2,1.1,0.5,5644,12479,45.2,1787,4625,38.6,2504,3111,80.5,1418,4015,5433,1765,1115,541,1577,52.4,56.3
127,Dennis Johnson,"1,100",35954,15535,14.1,5.0,3.9,1.3,0.6,5832,13100,44.5,80,464,17.2,3791,4754,79.7,1459,2790,4249,5499,1477,675,2448,44.8,51.1
128,Bob Dandridge,839,29502,15530,18.5,3.4,3.9,0.8,0.4,6445,13317,48.4,2,12,16.7,2638,3382,78,908,2337,5715,2846,661,303,630,48.4,52.4
129,Rudy Gay,879,29888,15461,17.6,2.2,5.9,1.3,0.8,5874,12881,45.6,903,2598,34.8,2810,3532,79.6,1256,3957,5213,1965,1107,688,2008,49.1,53.6
130,Sam Jones,871,24285,15411,17.7,2.5,0.0,,,6271,13745,45.6,-,-,-,2869,3572,80.3,-,-,4305,2209,-,-,-,45.6,50.3
131,Tim Hardaway,867,30628,15373,17.7,8.2,3.3,1.6,0.1,5640,13076,43.1,1542,4345,35.5,2551,3263,78.2,544,2311,2855,7095,1428,129,2481,49,53
132,Dick Barnett,971,28937,15358,15.8,2.8,0.0,0.0,0.0,6034,13227,45.6,-,-,-,3290,4324,76.1,1,3,2812,2729,1,0,-,45.6,50.8
133,Shawn Kemp,"1,051",29299,15347,14.6,1.6,8.4,1.1,1.2,5505,11278,48.8,33,119,27.7,4304,5805,74.1,3026,5808,8834,1704,1185,1279,2766,49,55.5
134,Sam Perkins,"1,286",36598,15324,11.9,1.5,6.0,0.9,0.7,5498,11984,45.9,849,2348,36.2,3479,4292,81.1,2324,5342,7666,1975,1105,933,1586,49.4,55.2
136,Byron Scott,"1,073",30152,15097,14.1,2.5,2.8,1.1,0.3,5918,12268,48.2,775,2093,37,2486,2985,83.3,677,2310,2987,2729,1224,276,1597,51.4,55.6
137,Dick Van Arsdale,921,31771,15079,16.4,3.3,0.7,0.3,0.0,5413,11661,46.4,-,-,-,4253,5385,79,188,476,3807,3060,264,44,-,46.4,53.7
138,Shareef Abdur-Rahim,830,28883,15028,18.1,2.5,7.5,1.0,0.8,5434,11515,47.2,154,519,29.7,4006,4943,81,1869,4370,6239,2109,820,638,2136,47.9,54.9
